class	nix	card	tp
<http://dbpedia.org/ontology/MouseGeneLocation>	3	1	3
<http://dbpedia.org/ontology/MouseGene>	4	1	4
<http://dbpedia.org/ontology/HumanGeneLocation>	3	2	6
<http://dbpedia.org/ontology/MixedMartialArtsLeague>	7	1	7
<http://dbpedia.org/ontology/GeneLocation>	4	3	12
<http://dbpedia.org/ontology/Skyscraper>	7	2	14
<http://dbpedia.org/ontology/HumanGene>	4	4	16
<http://dbpedia.org/ontology/AmericanFootballTeam>	7	3	21
<http://dbpedia.org/ontology/AustralianFootballLeague>	6	4	24
<http://dbpedia.org/ontology/Gene>	5	5	25
<http://dbpedia.org/ontology/Ginkgo>	5	5	25
<http://dbpedia.org/ontology/VideogamesLeague>	6	5	30
<http://dbpedia.org/ontology/SpeedwayLeague>	6	6	36
<http://dbpedia.org/ontology/CanadianFootballLeague>	7	7	49
<http://dbpedia.org/ontology/TennisLeague>	7	7	49
<http://dbpedia.org/ontology/CricketLeague>	6	9	54
<http://dbpedia.org/ontology/AutoRacingLeague>	7	9	63
<http://dbpedia.org/ontology/SnookerWorldRanking>	2	34	68
<http://dbpedia.org/ontology/GolfLeague>	6	12	72
<http://dbpedia.org/ontology/SpaceShuttle>	4	18	72
<http://dbpedia.org/ontology/Project>	4	20	80
<http://dbpedia.org/ontology/ResearchProject>	4	20	80
<http://dbpedia.org/ontology/Journalist>	6	14	84
<http://dbpedia.org/ontology/HandballLeague>	6	15	90
<http://dbpedia.org/ontology/PoloLeague>	6	16	96
<http://dbpedia.org/ontology/SoftballLeague>	6	17	102
<http://dbpedia.org/ontology/VolleyballCoach>	6	18	108
<http://dbpedia.org/ontology/Continent>	8	14	112
<http://schema.org/Continent>	8	14	112
<http://dbpedia.org/ontology/CanadianFootballTeam>	7	19	133
<http://dbpedia.org/ontology/MotorcycleRacingLeague>	7	19	133
<http://dbpedia.org/ontology/Gnetophytes>	5	28	140
<http://dbpedia.org/ontology/LacrosseLeague>	7	20	140
<http://dbpedia.org/ontology/FieldHockeyLeague>	6	24	144
<http://dbpedia.org/ontology/InlineHockeyLeague>	7	23	161
<http://dbpedia.org/ontology/WaterwayTunnel>	9	19	171
<http://dbpedia.org/ontology/SnookerChamp>	8	23	184
<http://dbpedia.org/ontology/SpaceStation>	5	38	190
<http://dbpedia.org/ontology/ComedyGroup>	7	32	224
<http://dbpedia.org/ontology/YearInSpaceflight>	4	56	224
<http://dbpedia.org/ontology/TelevisionHost>	7	36	252
<http://dbpedia.org/ontology/Lymph>	3	92	276
<http://dbpedia.org/ontology/Spacecraft>	4	84	336
<http://dbpedia.org/ontology/VolleyballLeague>	6	58	348
<http://dbpedia.org/ontology/WomensTennisAssociationTournament>	8	59	472
<http://dbpedia.org/ontology/Archaea>	3	171	513
<http://dbpedia.org/ontology/ClubMoss>	6	89	534
<http://dbpedia.org/ontology/AmericanFootballLeague>	7	78	546
<http://dbpedia.org/ontology/Ligament>	3	195	585
<http://dbpedia.org/ontology/Chancellor>	7	86	602
<http://dbpedia.org/ontology/SpeedwayTeam>	8	78	624
<http://dbpedia.org/ontology/Embryology>	3	220	660
<http://dbpedia.org/ontology/College>	10	81	810
<http://dbpedia.org/ontology/LaunchPad>	10	85	850
<http://dbpedia.org/ontology/Valley>	7	123	861
<http://dbpedia.org/ontology/BiologicalDatabase>	3	300	900
<http://dbpedia.org/ontology/Database>	3	300	900
<http://dbpedia.org/ontology/RoadJunction>	8	120	960
<http://dbpedia.org/ontology/RailwayTunnel>	9	109	981
<http://dbpedia.org/ontology/BeachVolleyballPlayer>	8	127	1016
<http://dbpedia.org/ontology/Cycad>	6	173	1038
<http://dbpedia.org/ontology/RugbyLeague>	8	133	1064
<http://dbpedia.org/ontology/Muscle>	4	281	1124
<http://dbpedia.org/ontology/Racecourse>	7	162	1134
<http://dbpedia.org/ontology/RaceTrack>	7	162	1134
<http://dbpedia.org/ontology/Vein>	4	292	1168
<http://dbpedia.org/ontology/RoadTunnel>	9	132	1188
<http://dbpedia.org/ontology/HorseTrainer>	6	220	1320
<http://dbpedia.org/ontology/Monument>	5	280	1400
<http://dbpedia.org/ontology/Bacteria>	4	352	1408
<http://dbpedia.org/ontology/Bodybuilder>	7	205	1435
<http://dbpedia.org/ontology/CyclingTeam>	7	222	1554
<http://dbpedia.org/ontology/Skater>	7	222	1554
<http://dbpedia.org/ontology/Nerve>	4	389	1556
<http://dbpedia.org/ontology/BaseballLeague>	8	196	1568
<http://dbpedia.org/ontology/IceHockeyLeague>	8	204	1632
<http://dbpedia.org/ontology/NetballPlayer>	7	243	1701
<http://dbpedia.org/ontology/Bone>	4	430	1720
<http://dbpedia.org/ontology/SquashPlayer>	7	267	1869
<http://dbpedia.org/ontology/PlayboyPlaymate>	7	294	2058
<http://dbpedia.org/ontology/Cave>	6	345	2070
<http://dbpedia.org/ontology/GreenAlga>	6	356	2136
<http://dbpedia.org/ontology/RadioHost>	7	314	2198
<http://dbpedia.org/ontology/OlympicResult>	3	750	2250
<http://dbpedia.org/ontology/SportCompetitionResult>	3	750	2250
<http://dbpedia.org/ontology/Medician>	8	282	2256
<http://dbpedia.org/ontology/SnookerPlayer>	8	287	2296
<http://dbpedia.org/ontology/Moss>	6	384	2304
<http://dbpedia.org/ontology/Galaxy>	4	578	2312
<http://dbpedia.org/ontology/Artery>	5	466	2330
<http://dbpedia.org/ontology/LacrossePlayer>	7	339	2373
<http://dbpedia.org/ontology/SpaceMission>	5	485	2425
<http://dbpedia.org/ontology/Holiday>	4	607	2428
<http://dbpedia.org/ontology/Grape>	7	349	2443
<http://dbpedia.org/ontology/BasketballLeague>	8	306	2448
<http://dbpedia.org/ontology/MountainRange>	7	375	2625
<http://dbpedia.org/ontology/AnimangaCharacter>	8	342	2736
<http://dbpedia.org/ontology/Rocket>	9	304	2736
<http://dbpedia.org/ontology/Convention>	5	554	2770
<http://dbpedia.org/ontology/SiteOfSpecialScientificInterest>	5	578	2890
<http://dbpedia.org/ontology/Chef>	7	417	2919
<http://dbpedia.org/ontology/Jockey>	7	425	2975
<http://dbpedia.org/ontology/FashionDesigner>	8	379	3032
<http://dbpedia.org/ontology/DartsPlayer>	7	436	3052
<http://dbpedia.org/ontology/TableTennisPlayer>	7	445	3115
<http://dbpedia.org/ontology/Ambassador>	7	450	3150
<http://dbpedia.org/ontology/Brain>	6	537	3222
<http://dbpedia.org/ontology/BadmintonPlayer>	7	465	3255
<http://dbpedia.org/ontology/Tunnel>	11	298	3278
<http://dbpedia.org/ontology/AmateurBoxer>	8	413	3304
<http://dbpedia.org/ontology/Curler>	7	473	3311
<http://dbpedia.org/ontology/SkiArea>	6	575	3450
<http://schema.org/SkiResort>	6	575	3450
<http://dbpedia.org/ontology/SumoWrestler>	8	441	3528
<http://dbpedia.org/ontology/Presenter>	8	443	3544
<http://dbpedia.org/ontology/Cardinal>	7	507	3549
<http://dbpedia.org/ontology/LawFirm>	8	446	3568
<http://dbpedia.org/ontology/FilmFestival>	7	536	3752
<http://dbpedia.org/ontology/NationalCollegiateAthleticAssociationAthlete>	7	538	3766
<http://dbpedia.org/ontology/WineRegion>	10	389	3890
<http://dbpedia.org/ontology/Race>	8	515	4120
<http://dbpedia.org/ontology/Beverage>	6	697	4182
<http://dbpedia.org/ontology/Conifer>	6	720	4320
<http://dbpedia.org/ontology/PokerPlayer>	7	624	4368
<http://dbpedia.org/ontology/MixedMartialArtsEvent>	7	693	4851
<http://dbpedia.org/ontology/Economist>	7	698	4886
<http://dbpedia.org/ontology/Murderer>	9	553	4977
<http://dbpedia.org/ontology/Restaurant>	8	623	4984
<http://schema.org/Restaurant>	8	623	4984
<http://dbpedia.org/ontology/Fern>	6	833	4998
<http://dbpedia.org/ontology/Canal>	17	298	5066
<http://schema.org/Canal>	17	298	5066
<http://dbpedia.org/ontology/Game>	4	1276	5104
<http://dbpedia.org/ontology/SpeedwayRider>	8	639	5112
<http://dbpedia.org/ontology/HandballPlayer>	7	770	5390
<http://dbpedia.org/ontology/Volcano>	7	792	5544
<http://dbpedia.org/ontology/Religious>	8	708	5664
<http://dbpedia.org/ontology/Mineral>	5	1140	5700
<http://dbpedia.org/ontology/Castle>	7	816	5712
<http://dbpedia.org/ontology/Engineer>	8	731	5848
<http://dbpedia.org/ontology/Musical>	5	1198	5990
<http://dbpedia.org/ontology/Year>	3	2041	6123
<http://dbpedia.org/ontology/WrestlingEvent>	7	878	6146
<http://dbpedia.org/ontology/MotorsportSeason>	3	2069	6207
<http://dbpedia.org/ontology/Sport>	19	328	6232
<http://dbpedia.org/ontology/MusicFestival>	7	909	6363
<http://dbpedia.org/ontology/RadioProgram>	7	933	6531
<http://dbpedia.org/ontology/WorldHeritageSite>	6	1102	6612
<http://dbpedia.org/ontology/Prison>	9	740	6660
<http://dbpedia.org/ontology/NascarDriver>	8	836	6688
<http://dbpedia.org/ontology/Play>	5	1361	6805
<http://dbpedia.org/ontology/VolleyballPlayer>	8	868	6944
<http://dbpedia.org/ontology/ChessPlayer>	7	1055	7385
<http://dbpedia.org/ontology/HollywoodCartoon>	5	1486	7430
<http://dbpedia.org/ontology/Gymnast>	7	1084	7588
<http://dbpedia.org/ontology/BasketballTeam>	9	857	7713
<http://dbpedia.org/ontology/EurovisionSongContestEntry>	7	1102	7714
<http://dbpedia.org/ontology/FormulaOneRacer>	8	1005	8040
<http://dbpedia.org/ontology/Astronaut>	12	676	8112
<http://dbpedia.org/ontology/Currency>	13	625	8125
<http://dbpedia.org/ontology/GrandPrix>	7	1180	8260
<http://dbpedia.org/ontology/Hotel>	8	1045	8360
<http://schema.org/Hotel>	8	1045	8360
<http://dbpedia.org/ontology/Senator>	9	934	8406
<http://dbpedia.org/ontology/Publisher>	9	940	8460
<http://dbpedia.org/ontology/Skier>	7	1261	8827
<http://dbpedia.org/ontology/Theatre>	9	981	8829
<http://dbpedia.org/ontology/CultivatedVariety>	6	1474	8844
<http://dbpedia.org/ontology/LunarCrater>	6	1475	8850
<http://dbpedia.org/ontology/HockeyTeam>	9	988	8892
<http://dbpedia.org/ontology/Star>	4	2265	9060
<http://dbpedia.org/ontology/Comedian>	9	1018	9162
<http://dbpedia.org/ontology/Mayor>	8	1164	9312
<http://dbpedia.org/ontology/SoccerLeague>	7	1341	9387
<http://dbpedia.org/ontology/Model>	7	1354	9478
<http://dbpedia.org/ontology/Library>	14	708	9912
<http://schema.org/Library>	14	708	9912
<http://dbpedia.org/ontology/Lighthouse>	7	1471	10297
<http://dbpedia.org/ontology/Architect>	8	1291	10328
<http://dbpedia.org/ontology/Philosopher>	8	1300	10400
<http://dbpedia.org/ontology/TradeUnion>	7	1489	10423
<http://dbpedia.org/ontology/BeautyQueen>	6	1852	11112
<http://dbpedia.org/ontology/BroadcastNetwork>	9	1280	11520
<http://schema.org/Festival>	8	1445	11560
