"axiom" "refc" "conf" "expt" "poss" "nec" "time" "ari" "bls" "ncis" "tp"
"SubClassOf(dbo:MouseGeneLocation dbo:GeneLocation)" 1 1 0 1 1 464 1 0.5 2 2
"SubClassOf(dbo:MouseGeneLocation owl:Thing)" 1 1 0 1 1 44 1 0.5 2 2
"SubClassOf(dbo:MouseGene dbo:Biomolecule)" 1 1 0 1 1 48 1 0.5 5 5
"SubClassOf(dbo:MouseGene dbo:Gene)" 1 1 0 1 1 20 1 0.5 5 5
"SubClassOf(dbo:MouseGene owl:Thing)" 1 1 0 1 1 28 1 0.5 5 5
"SubClassOf(dbo:HumanGeneLocation dbo:GeneLocation)" 2 2 0 1 1 36 1 0.5 2 4
"SubClassOf(dbo:HumanGeneLocation owl:Thing)" 2 2 0 1 1 28 1 0.5 2 4
"SubClassOf(dbo:MixedMartialArtsLeague dbo:Agent)" 1 1 0 1 1 44 1 0.5 6 6
"SubClassOf(dbo:MixedMartialArtsLeague dbo:Organisation)" 1 1 0 1 1 40 1 0.5 6 6
"SubClassOf(dbo:MixedMartialArtsLeague dbo:SportsLeague)" 1 1 0 1 1 20 1 0.5 6 6
"SubClassOf(dbo:MixedMartialArtsLeague schema:Organization)" 1 1 0 1 1 24 1 0.5 6 6
"SubClassOf(dbo:MixedMartialArtsLeague owl:Thing)" 1 1 0 1 1 36 1 0.5 6 6
"SubClassOf(dbo:MixedMartialArtsLeague skos:Concept)" 1 1 0 1 1 32 1 0.5 6 6
"SubClassOf(dbo:GeneLocation dbo:HumanGeneLocation)" 3 2 1 0.25464400750007 0 96 -0.74535599249993 0.5 3 9
"SubClassOf(dbo:GeneLocation dbo:MouseGeneLocation)" 3 1 2 0.0571909584179366 0 52 -0.942809041582063 0.5 3 9
"SubClassOf(dbo:GeneLocation owl:Thing)" 3 3 0 1 1 32 1 0.5 3 9
"SubClassOf(dbo:Skyscraper dbo:ArchitecturalStructure)" 2 2 0 1 1 44 1 0.5 6 12
"SubClassOf(dbo:Skyscraper dbo:Building)" 2 2 0 1 1 28 1 0.5 6 12
"SubClassOf(dbo:Skyscraper dbo:Place)" 2 2 0 1 1 28 1 0.5 6 12
"SubClassOf(dbo:Skyscraper schema:Place)" 2 2 0 1 1 28 1 0.5 6 12
"SubClassOf(dbo:Skyscraper gml:_Feature)" 2 1 0 1 0.866025403784439 32 0.866025403784439 0.5 6 12
"SubClassOf(dbo:Skyscraper owl:Thing)" 2 2 0 1 1 20 1 0.5 6 12
"SubClassOf(dbo:HumanGene dbo:Biomolecule)" 4 4 0 1 1 28 1 0.5 5 20
"SubClassOf(dbo:HumanGene dbo:Gene)" 4 4 0 1 1 32 1 0.5 5 20
"SubClassOf(dbo:HumanGene owl:Thing)" 4 4 0 1 1 28 1 0.5 5 20
"SubClassOf(dbo:AmericanFootballTeam dbo:Agent)" 3 3 0 1 1 32 1 0.5 6 18
"SubClassOf(dbo:AmericanFootballTeam dbo:Organisation)" 3 3 0 1 1 20 1 0.5 6 18
"SubClassOf(dbo:AmericanFootballTeam dbo:SportsTeam)" 3 3 0 1 1 20 1 0.5 6 18
"SubClassOf(dbo:AmericanFootballTeam schema:Organization)" 3 3 0 1 1 12 1 0.5 6 18
"SubClassOf(dbo:AmericanFootballTeam schema:SportsTeam)" 3 3 0 1 1 16 1 0.5 6 18
"SubClassOf(dbo:AmericanFootballTeam owl:Thing)" 3 3 0 1 1 16 1 0.5 6 18
"SubClassOf(dbo:AustralianFootballLeague dbo:Agent)" 4 4 0 1 1 44 1 0.5 5 20
"SubClassOf(dbo:AustralianFootballLeague dbo:Organisation)" 4 4 0 1 1 32 1 0.5 5 20
"SubClassOf(dbo:AustralianFootballLeague dbo:SportsLeague)" 4 4 0 1 1 32 1 0.5 5 20
"SubClassOf(dbo:AustralianFootballLeague schema:Organization)" 4 4 0 1 1 32 1 0.5 5 20
"SubClassOf(dbo:AustralianFootballLeague owl:Thing)" 4 4 0 1 1 32 1 0.5 5 20
"SubClassOf(dbo:Gene dbo:Biomolecule)" 5 5 0 1 1 40 1 0.5 7 35
"SubClassOf(dbo:Gene dbo:HumanGene)" 5 4 1 0.4 0 88 -0.6 0.5 7 35
"SubClassOf(dbo:Gene dbo:MouseGene)" 5 1 4 0.0202041028867288 0 56 -0.979795897113271 0.5 7 35
"SubClassOf(dbo:Gene owl:Thing)" 5 5 0 1 1 24 1 0.5 7 35
"SubClassOf(dbo:Ginkgo dbo:Eukaryote)" 5 5 0 1 1 40 1 0.5 4 20
"SubClassOf(dbo:Ginkgo dbo:Plant)" 5 5 0 1 1 32 1 0.5 4 20
"SubClassOf(dbo:Ginkgo dbo:Species)" 5 5 0 1 1 32 1 0.5 4 20
"SubClassOf(dbo:Ginkgo owl:Thing)" 5 5 0 1 1 32 1 0.5 4 20
"SubClassOf(dbo:VideogamesLeague dbo:Agent)" 5 5 0 1 1 44 1 0.5 5 25
"SubClassOf(dbo:VideogamesLeague dbo:Organisation)" 5 5 0 1 1 28 1 0.5 5 25
"SubClassOf(dbo:VideogamesLeague dbo:SportsLeague)" 5 5 0 1 1 32 1 0.5 5 25
"SubClassOf(dbo:VideogamesLeague schema:Organization)" 5 5 0 1 1 28 1 0.5 5 25
"SubClassOf(dbo:VideogamesLeague owl:Thing)" 5 5 0 1 1 32 1 0.5 5 25
"SubClassOf(dbo:SpeedwayLeague dbo:Agent)" 6 6 0 1 1 44 1 0.508 5 30
"SubClassOf(dbo:SpeedwayLeague dbo:Organisation)" 6 6 0 1 1 20 1 0.508 5 30
"SubClassOf(dbo:SpeedwayLeague dbo:SportsLeague)" 6 6 0 1 1 24 1 0.508 5 30
"SubClassOf(dbo:SpeedwayLeague schema:Organization)" 6 6 0 1 1 16 1 0.508 5 30
"SubClassOf(dbo:SpeedwayLeague owl:Thing)" 6 6 0 1 1 28 1 0.508 5 30
"SubClassOf(dbo:CanadianFootballLeague dbo:Agent)" 7 7 0 1 1 32 1 0.531110193329373 6 42
"SubClassOf(dbo:CanadianFootballLeague dbo:Organisation)" 7 7 0 1 1 28 1 0.531110193329373 6 42
"SubClassOf(dbo:CanadianFootballLeague dbo:SportsLeague)" 7 7 0 1 1 32 1 0.531110193329373 6 42
"SubClassOf(dbo:CanadianFootballLeague schema:Organization)" 7 7 0 1 1 32 1 0.531110193329373 6 42
"SubClassOf(dbo:CanadianFootballLeague owl:Thing)" 7 7 0 1 1 28 1 0.531110193329373 6 42
"SubClassOf(dbo:CanadianFootballLeague skos:Concept)" 7 1 0 1 0.515078753637713 120 0.515078753637713 0.5 6 42
"SubClassOf(dbo:TennisLeague dbo:Agent)" 7 7 0 1 1 44 1 0.531110193329373 6 42
