elite,phenotype,antecedent,consequent,referenceCardinality,numConfirmations,numViolations,likelihood,pValue,fitness,acceptance,generality,elapsedTime
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q273186> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q273186> ;  ] . ","denaturation","denaturation",33,33,0,9.48034495789435e-09,0,33,TRUE,0.000145600868310633,10
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q3062052> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q834191> ;  ] . ","exoribonuclease","proofreading",18,5,13,0.032684326171875,3.55555555555556,5,TRUE,7.94186554421634e-05,6
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q834191> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q3062052> ;  ] . ","proofreading","exoribonuclease",8,5,3,0.21875,0,5,TRUE,3.5297180196517e-05,5
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q846759> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q110084> ;  ] . ","orders of magnitude","serum",10,4,6,0.205078125,0.4,4,TRUE,4.41214752456463e-05,8
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q277954> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q11364> ;  ] . ","estrogen","hormone",10,3,7,0.1171875,1.6,3,TRUE,4.41214752456463e-05,6
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q277954> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q14599311> ;  ] . ","estrogen","apoptotic process",10,3,7,0.1171875,1.6,3,TRUE,4.41214752456463e-05,4
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q3087369> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q14599311> ;  ] . ","cell physiology","apoptotic process",6,3,3,0.3125,0,3,TRUE,2.64728851473878e-05,14
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q500430> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q3933202> ;  ] . ","dual role","viral replication",3,2,1,0.375,0,2,TRUE,1.32364425736939e-05,8
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q1106386> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q123619> ;  ] . ","nanolithography","nucleic acid",2,1,1,0.5,0,1,TRUE,8.82429504912926e-06,8
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q1106386> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q14599311> ;  ] . ","nanolithography","apoptotic process",2,1,1,0.5,0,1,TRUE,8.82429504912926e-06,9
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q837054> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q193447> ;  ] . ","adenovirus infection","adenoviridae",7,6,1,0.0546875,0,6,TRUE,3.08850326719524e-05,3
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q138864> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q138864> ;  ] . ","helicase","helicase",99,99,0,2.55003188025005e-23,0,99,TRUE,0.000436802604931898,4
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q1192530> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q9371> ;  ] . ","acute liver failure","spleen",10,2,8,0.0439453125,3.6,2,TRUE,4.41214752456463e-05,6
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q107994> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q107994> ;  ] . ","vector","vector",451,451,0,4.37971772957201e-100,0,451,TRUE,0.00198987853357865,5
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q1049> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q107994> ;  ] . ","sudan","vector",10,2,8,0.0439453125,3.6,2,TRUE,4.41214752456463e-05,12
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q83310> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q83310> ;  ] . ","house mouse","house mouse",90,90,0,2.40750457515705e-21,0,90,TRUE,0.000397093277210817,7
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q776030> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q101991> ;  ] . ","systemic inflammatory response syndrome","inflammation",14,4,10,0.06109619140625,2.57142857142857,4,TRUE,6.17700653439048e-05,6
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q18032042> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q101991> ;  ] . ","tnfaip3","inflammation",3,2,1,0.375,0,2,TRUE,1.32364425736939e-05,9
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q185217> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q12136> ;  ] . ","dairy product","disease",2,1,1,0.5,0,1,TRUE,8.82429504912926e-06,12
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q795375> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q496> ;  ] . ","eimeria","feces",24,10,14,0.116899967193604,0.666666666666667,10,TRUE,0.000105891540589551,13
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q48360> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q43054> ;  ] . ","hippocampus","neuron",21,7,14,0.0554466247558594,2.33333333333333,7,TRUE,9.26550980158573e-05,10
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q1626970> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q830> ;  ] . ","milk substitute","cattle",19,6,13,0.0517501831054688,2.57894736842105,6,TRUE,8.3830802966728e-05,7
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q757678> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q13400765> ;  ] . ","atopy","respiratory tract",13,3,10,0.034912109375,3.76923076923077,3,TRUE,5.73579178193402e-05,14
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q198526> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q104053> ;  ] . ","d-dimer","phenotype",4,2,2,0.375,0,2,TRUE,1.76485900982585e-05,6
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q6481228> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q496> ;  ] . ","louse","feces",2,1,1,0.5,0,1,TRUE,8.82429504912926e-06,4
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q153875> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q1460232> ;  ] . ","yersinia pestis","virulence",15,4,11,0.041656494140625,3.26666666666667,4,TRUE,6.61822128684695e-05,6
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q619302> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q422248> ;  ] . ","somatic hypermutation","monoclonal antibody",10,4,6,0.205078125,0.4,4,TRUE,4.41214752456463e-05,12
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q2043512> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q1460232> ;  ] . ","live attenuated influenza vaccine","virulence",4,2,2,0.375,0,2,TRUE,1.76485900982585e-05,4
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q18247639> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q425517> ;  ] . ","ager","retinoic acid",2,1,1,0.5,0,1,TRUE,8.82429504912926e-06,9
